sample_id,abbr_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,matrix_position
MSP1-4,MSP,Shackleton Glacier,Transantarctic Mountains,g,-84.48296667,-176.4805333,-36800.74994029674,-598350.6052253838,129
MSP2-1,MSP,Shackleton Glacier,Transantarctic Mountains,g,-84.48188333,-176.5069667,-36531.88070121229,-598485.2058292622,130
MSP3-1,MSP,Shackleton Glacier,Transantarctic Mountains,g,-84.48191667,-176.4879,-36730.81831888345,-598469.393987277,131
MSP3-4,MSP,Shackleton Glacier,Transantarctic Mountains,g,-84.48018333,-176.4880833,-36740.459566837366,-598657.8055045175,132
MW2-1,MW,Shackleton Glacier,Transantarctic Mountains,w,-84.55958333,-176.8112167,-32882.94107114233,-590227.6531203381,133
NP1-1,NP,Shackleton Glacier,Transantarctic Mountains,w,-84.53455,-175.4222333,-47397.80934497589,-591972.8031233506,134
NP2-1,NP,Shackleton Glacier,Transantarctic Mountains,w,-84.53481667,-175.4262,-47354.511503547605,-591947.1538621167,135
NP3-1,NP,Shackleton Glacier,Transantarctic Mountains,w,-84.5346,-175.4231667,-47387.731357509285,-591968.151046973,136
NP3-4,NP,Shackleton Glacier,Transantarctic Mountains,w,-84.53441667,-175.4166,-47457.17118532136,-591982.6040361967,137
NP4-5,NP,Shackleton Glacier,Transantarctic Mountains,w,-84.53315,-175.3152333,-48515.68057820096,-592035.108535021,138
ON-10,OR,Onyx River,South Victoria Land,c,-77.46795,162.42593,412541.1312076836,-1302539.4071067593,139
OR-4,OR,Onyx River,South Victoria Land,c,-77.5246,161.8972,422608.33001913957,-1292757.8715071462,140
OR-8,OR,Onyx River,South Victoria Land,c,-77.51402,162.13828,417521.857348078,-1295631.5348624897,141
RM1-1,RM,Shackleton Glacier,Transantarctic Mountains,c,-85.4909,-177.1771667,-24122.96732478044,-489233.8979639517,142
RM1-8,RM,Shackleton Glacier,Transantarctic Mountains,c,-85.48678333,-177.0993667,-24809.913395878935,-489647.79705592646,143
