sample_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,region_tm,region_svl,region_nvl,region_nwap
MFP-A1,Mt. Falconer TP,South Victoria Land,g,-77.5717,163.161,392493.1579496578,-1296809.2190664555,548.775,8.1,39.0,-30.23,3.7,140.3,0,1,0,0
MFP-A2,Mt. Falconer TP,South Victoria Land,g,-77.5717,163.161,392493.1579496578,-1296809.2190664555,548.775,8.1,39.0,-30.23,3.7,140.3,0,1,0,0
MFP-AAA,Mt. Falconer TP,South Victoria Land,g,-77.574361,163.163639,392348.7155525567,-1296547.358338337,585.007,8.0,39.0,-30.23,12.3,189.3,0,1,0,0
MFP-d,Mt. Falconer TP,South Victoria Land,g,-77.571733,163.161,392492.10724443395,-1296805.7475047398,548.983,8.1,39.0,-30.23,3.7,142.0,0,1,0,0
MFX-2,Shackleton Glacier,Transantarctic Mountains,w,-84.62411667,-176.7085,-33537.79342318525,-583156.5188815292,295.0,12.4,168.8,-21.17,20.0,294.5,1,0,0,0
MK-A6,Mount Kyffin,Transantarctic Mountains,s,-83.7607,172.751317,85561.95181206611,-672695.4065099503,458.696,7.1,175.6,-23.17,34.1,10.9,1,0,0,0
MK-KYBjA6,Mount Kyffin,Transantarctic Mountains,s,-83.759966,172.768667,85368.30822700476,-672800.5879226243,571.887,6.9,175.6,-23.17,26.6,35.3,1,0,0,0
MK-UN8,Mount Kyffin,Transantarctic Mountains,s,-83.7607,172.751317,85561.95181206611,-672695.4065099503,458.696,7.1,175.6,-23.17,34.1,10.9,1,0,0,0
MS-11,Mt. Seuss Refugia,South Victoria Land,g,-77.03,161.71,443900.24027479556,-1343016.5667301475,723.282,10.3,29.8,-30.75,35.4,198.2,0,1,0,0
MS-12,Mt. Seuss Refugia,South Victoria Land,g,-77.03,161.71,443900.24027479556,-1343016.5667301475,723.282,10.3,29.8,-30.75,35.4,198.2,0,1,0,0
MS-5,Mt. Seuss Refugia,South Victoria Land,g,-77.03,161.71,443900.24027479556,-1343016.5667301475,723.282,10.3,29.8,-30.75,35.4,198.2,0,1,0,0
MS-7,Mt. Seuss Refugia,South Victoria Land,g,-77.03,161.71,443900.24027479556,-1343016.5667301475,723.282,10.3,29.8,-30.75,35.4,198.2,0,1,0,0
MSP1-1,Shackleton Glacier,Transantarctic Mountains,g,-84.48301667,-176.51275,-36463.96807898743,-598365.7715652424,272.0,2.6,168.8,-21.17,24.3,273.0,1,0,0,0
