grid_id,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,litho,acbr,region_tm,region_svl,region_nvl,region_nwap
GRID_11427,-82.473,156.054,332189.45807073667,-748006.2298294448,1610.12,56052.85,26.739,-36.963,17.10890007,231.0359955,w,Transantarctic Mountains,1,0,0,0
GRID_11428,-82.47,155.99,333157.9119035958,-747933.57915014,1828.4,56956.63,26.739,-36.963,38.35499954,340.7860107,w,Transantarctic Mountains,1,0,0,0
GRID_11429,-82.511,156.54,324182.9117863534,-746995.3467039247,1413.55,49459.04,26.739,-36.963,12.97579956,176.9779968,w,Transantarctic Mountains,1,0,0,0
GRID_11430,-82.479,155.805,335168.86084083916,-745958.6344797409,1908.21,59624.32,26.739,-36.963,39.73279953,280.5379944,w,Transantarctic Mountains,1,0,0,0
GRID_11431,-82.502,156.033,331178.8615842931,-744994.3901746359,1475.06,56532.11,26.739,-36.963,4.664470196,278.7919922,c,Transantarctic Mountains,1,0,0,0
GRID_11432,-82.498,155.969,332188.4685576182,-745022.4166253537,1570.22,57410.94,26.739,-36.963,22.12669945,176.6519928,w,Transantarctic Mountains,1,0,0,0
GRID_11433,-82.491,155.841,334164.47549596307,-744974.987830221,1573.1,59180.13,26.739,-36.963,30.65570068,203.25,w,Transantarctic Mountains,1,0,0,0
GRID_11434,-82.487,155.777,335175.39540141745,-744999.087004375,1974.18,60070.16,26.739,-36.963,18.68880081,200.5200043,w,Transantarctic Mountains,1,0,0,0
GRID_11435,-82.518,156.133,329172.0821639391,-743975.5769713009,1454.81,55289.89,26.739,-36.963,13.5909996,305.2130127,c,Transantarctic Mountains,1,0,0,0
GRID_11436,-82.514,156.069,330179.8533525161,-744006.1475148926,1456.7,56152.54,26.739,-36.963,6.648940086,209.5359955,w,Transantarctic Mountains,1,0,0,0
GRID_11437,-82.511,156.004,331156.7396364413,-743929.9846658673,1438.17,57019.68,26.739,-36.963,6.80384016,291.6170044,c,Transantarctic Mountains,1,0,0,0
GRID_11438,-82.507,155.94,332165.3574047404,-743957.9422622029,1764.0,57891.11,26.739,-36.963,30.44729996,210.6970062,w,Transantarctic Mountains,1,0,0,0
GRID_11439,-82.503,155.876,333174.45144519175,-743984.5761921691,2112.92,58766.63,26.739,-36.963,1.836680055,230.1580048,w,Transantarctic Mountains,1,0,0,0
GRID_11440,-82.499,155.812,334184.0200611785,-744009.8854269648,2036.94,59646.06,26.739,-36.963,24.10009956,98.22250366,w,Transantarctic Mountains,1,0,0,0
GRID_11441,-82.526,156.105,329182.2254906401,-743016.961099022,1422.84,55806.24,26.739,-36.963,4.616109848,188.4499969,c,Transantarctic Mountains,1,0,0,0
GRID_11442,-82.523,156.04,330157.80050197185,-742942.009940596,1537.52,56661.03,26.739,-36.963,22.87030029,241.8890076,w,Transantarctic Mountains,1,0,0,0
GRID_11443,-82.519,155.976,331165.0624734391,-742971.1899675659,1709.38,57520.51,26.739,-36.963,35.8368988,323.1520081,w,Transantarctic Mountains,1,0,0,0
GRID_11444,-82.515,155.912,332172.8021993608,-742999.0481216708,1762.64,58384.46,26.739,-36.963,25.63389969,193.197998,w,Transantarctic Mountains,1,0,0,0
GRID_11445,-82.538,156.14,328198.929528369,-742021.1042098333,1456.96,55493.83,26.739,-36.963,10.06939983,346.1480103,w,Transantarctic Mountains,1,0,0,0
GRID_11446,-82.531,156.011,330179.0964565967,-741977.729267241,1409.78,57182.49,26.739,-36.963,9.529809952,107.0439987,w,Transantarctic Mountains,1,0,0,0
GRID_11447,-82.524,155.883,332147.78361074615,-741934.9985752437,1781.3,58890.66,26.739,-36.963,9.137390137,53.63750076,w,Transantarctic Mountains,1,0,0,0
GRID_11448,-82.543,156.047,329181.54286038136,-740989.1040908586,1426.07,56877.64,26.739,-36.963,4.173349857,320.8479919,w,Transantarctic Mountains,1,0,0,0
GRID_11449,-82.536,155.918,331160.51357351604,-740943.0106326984,1569.87,58560.55,26.739,-36.963,28.5692997,288.7869873,w,Transantarctic Mountains,1,0,0,0
GRID_11450,-82.943,156.965,300202.95849611325,-706034.4063134782,1588.64,68721.75,19.174,-40.22,31.86450005,122.4499969,g,Transantarctic Mountains,1,0,0,0
GRID_11451,-82.929,156.691,304179.7515185669,-705992.2005579531,1561.18,69911.57,19.174,-40.22,11.54829979,145.2969971,g,Transantarctic Mountains,1,0,0,0
GRID_11452,-82.96,156.906,300203.004300026,-704020.3765980236,1872.77,70649.03,19.174,-40.22,29.48489952,106.0759964,g,Transantarctic Mountains,1,0,0,0
GRID_11453,-82.942,156.563,305192.57863850746,-704010.7637992221,1759.36,72128.16,19.174,-40.22,32.06510162,144.4400024,n,Transantarctic Mountains,1,0,0,0
